[Header]
Application Name,LabSolutions
Version,5.97 SP1
Data File Name,C:\Users\cremerlab\Desktop\griffin\2021-04-03_buffer_calibration\2021-04-03_buffer_calibration_432021_013_013.lcd
Output Date,4/3/2021
Output Time,10:46:58 PM

[File Information]
Type,Data File
Generated,4/3/2021 10:06:40 PM
Generated by,System Administrator
Modified,4/3/2021 10:46:58 PM
Modified by,System Administrator

[Sample Information]
Operator Name,System Administrator
Acquired,4/3/2021 10:06:58 PM
Sample Type,1:Standard
Level,4
Sample Name,2021-04-02_NC_glucose_glycerol_acetate_calibration_0mM
Sample ID,013
ISTD Amount1,1
ISTD Amount2,1
ISTD Amount3,1
ISTD Amount4,1
ISTD Amount5,1
ISTD Amount6,1
ISTD Amount7,1
ISTD Amount8,1
ISTD Amount9,1
ISTD Amount10,1
ISTD Amount11,1
ISTD Amount12,1
ISTD Amount13,1
ISTD Amount14,1
ISTD Amount15,1
ISTD Amount16,1
ISTD Amount17,1
ISTD Amount18,1
ISTD Amount19,1
ISTD Amount20,1
ISTD Amount21,1
ISTD Amount22,1
ISTD Amount23,1
ISTD Amount24,1
ISTD Amount25,1
ISTD Amount26,1
ISTD Amount27,1
ISTD Amount28,1
ISTD Amount29,1
ISTD Amount30,1
ISTD Amount31,1
ISTD Amount32,1
Sample Amount,1
Dilution Factor,1
Vial#,13
Injection Volume,20

[Original Files]
Data File,C:\Users\cremerlab\Desktop\griffin\2021-04-03_buffer_calibration\2021-04-03_buffer_calibration_432021_013_013.lcd
Method File,C:\LabSolutions\Data\Project1\organicacidsetc2.lcm
Batch File,C:\Users\cremerlab\Desktop\griffin\2021-04-03_buffer_calibration\2021-04-03_buffer_calibration.lcb
Report Format File,c:\LabSolutions\System\DEFAULT.lsr

[File Description]


[Configuration]
Instrument Name,HPLC-PC-Instrument1
Instrument #,1
Line #,1
# of Detectors,2
Detector ID,Detector A,Detector B
Detector Name,Detector A,Detector B
# of Channels,1,1

[Peak Table(Detector A)]
# of Peaks,0

[Peak Table(Detector B)]
# of Peaks,2
Peak#,R.Time,I.Time,F.Time,Area,Height,A/H,Conc.,Mark,ID#,Name,k',Plate #,Plate Ht.,Tailing,Resolution,Sep.Factor,Area Ratio,Height Ratio,Conc. %,Norm Conc.
1,11.069,10.767,12.917,1249169,69130,18.070,0.000,   ,,,0.000,10714,14.001,1.333,0.000,0.000,0,0,0.000,0.000
2,15.116,14.117,18.525,3156355,117461,26.872,0.000,   ,,,0.366,7150,20.980,0.763,7.082,0.000,0,0,0.000,0.000

[LC Chromatogram(Detector B-Ch1)]
Interval(msec),500
# of Points,4801
Start Time(min),0.000
End Time(min),40.000
Intensity Units,mV
Intensity Multiplier,0.001
R.Time (min),Intensity
0.00000,-0
0.00833,-0
0.01667,-0
0.02500,0
0.03333,0
0.04167,0
0.05000,0
0.05833,0
0.06667,0
0.07500,0
0.08333,-0
0.09167,0
0.10000,0
0.10833,0
0.11667,0
0.12500,0
0.13333,0
0.14167,0
0.15000,1
0.15833,1
0.16667,1
0.17500,0
0.18333,0
0.19167,0
0.20000,1
0.20833,1
0.21667,1
0.22500,1
0.23333,1
0.24167,1
0.25000,1
0.25833,1
0.26667,1
0.27500,1
0.28333,1
0.29167,1
0.30000,1
0.30833,1
0.31667,1
0.32500,1
0.33333,1
0.34167,0
0.35000,1
0.35833,1
0.36667,1
0.37500,1
0.38333,1
0.39167,1
0.40000,1
0.40833,1
0.41667,1
0.42500,1
0.43333,0
0.44167,0
0.45000,-0
0.45833,-0
0.46667,0
0.47500,0
0.48333,0
0.49167,0
0.50000,-0
0.50833,0
0.51667,1
0.52500,1
0.53333,1
0.54167,1
0.55000,1
0.55833,1
0.56667,1
0.57500,1
0.58333,1
0.59167,2
0.60000,2
0.60833,2
0.61667,1
0.62500,1
0.63333,1
0.64167,1
0.65000,0
0.65833,0
0.66667,0
0.67500,0
0.68333,0
0.69167,0
0.70000,0
0.70833,0
0.71667,0
0.72500,-0
0.73333,-0
0.74167,-0
0.75000,-0
0.75833,-0
0.76667,-0
0.77500,-0
0.78333,-1
0.79167,-1
0.80000,-1
0.80833,-0
0.81667,-0
0.82500,0
0.83333,0
0.84167,0
0.85000,1
0.85833,0
0.86667,0
0.87500,-0
0.88333,-0
0.89167,-1
0.90000,-1
0.90833,-1
0.91667,-1
0.92500,-1
0.93333,-1
0.94167,-1
0.95000,-1
0.95833,-1
0.96667,-1
0.97500,-1
0.98333,-1
0.99167,-1
1.00000,-1
1.00833,-1
